idx,atmnum,0,1,mean,stdev,var,range
0,6,-0.1710499968379736,-0.22040000551690658,-0.19572500117744007,0.03489572578848849,0.0012177116783053808,0.049350008678932994
1,6,-0.010039999708533287,-0.005259999943276247,-0.007649999825904767,0.0033799702480833585,1.142419887792868e-05,0.00477999976525704
2,6,-0.19862000606954097,-0.14717000716676315,-0.17289500661815205,0.03638064311619463,0.0013235511935479195,0.05144999890277782
3,6,0.0714100006967783,0.017459999832014243,0.04443500026439627,0.03814841145649477,0.0014553012966540217,0.053950000864764064
4,6,0.1998900029808283,0.1978500039006273,0.1988700034407278,0.0014424971832244463,2.080798123610462e-06,0.0020399990802009993
5,6,-0.3400300141423941,-0.3618699907635649,-0.35095000245297947,0.015443195569785548,0.000238492289406644,0.02183997662117082
6,6,-0.07270000092685222,-0.06955000006904205,-0.07112500049794714,0.002227386967301013,4.961252702102405e-06,0.00315000085781017
7,6,0.12843999303877354,0.14072999364386002,0.1345849933413168,0.00869034276864342,7.552205743651298e-05,0.012290000605086476
8,6,0.37520000375807283,0.36697000271330277,0.3710850032356878,0.005819489547929282,3.386645859845816e-05,0.008230001044770063
9,6,-0.056930001452565195,-0.07807999843110641,-0.0675049999418358,0.014955306285601487,0.00022366118609615135,0.021149996978541218
10,6,-0.3173899944871664,-0.3104600011681517,-0.31392499782765904,0.004900245269452782,2.401240370079437e-05,0.006929993319014727
11,8,-0.6411899920552969,-0.6451900004719694,-0.6431899962636332,0.002828433076232371,8.000033666725315e-06,0.004000008416672474
12,8,-0.6411899920552969,-0.6451900004719694,-0.6431899962636332,0.002828433076232371,8.000033666725315e-06,0.004000008416672474
13,8,-0.4812699850648642,-0.4826000034188231,-0.4819349942418436,0.0009404649971869124,8.844744109337791e-07,0.001330018353958906
14,8,-0.5563499923795462,-0.5356600283955534,-0.5460050103875498,0.014630013835586753,0.00021403730482945983,0.02068996398399281
15,9,-0.22727000676095485,-0.2251199930285414,-0.22619499989474812,0.0015202892898337438,2.311279524783189e-06,0.0021500137324134416
16,9,-0.22727000676095485,-0.2251199930285414,-0.22619499989474812,0.0015202892898337438,2.311279524783189e-06,0.0021500137324134416
17,16,1.377959967032075,1.373260021271805,1.37560999415194,0.0033233635182959567,1.1044745074740479e-05,0.004699945760270108
18,1,0.16182999350130559,0.15175999707231919,0.1567949952868124,0.007120562761460601,5.0702414039899415e-05,0.0100699964289864
19,1,0.14470000602304936,0.17416000372419754,0.15943000487362347,0.02083136414822198,0.0004339457322758281,0.029459997701148183
20,1,0.08219999857246876,0.09256000077972809,0.08737999967609843,0.007325627813860671,5.366482286720908e-05,0.010360002207259328
21,1,0.08219999857246876,0.09256000077972809,0.08737999967609843,0.007325627813860671,5.366482286720908e-05,0.010360002207259328
22,1,0.09955000169575215,0.11253000056991974,0.10604000113283595,0.009178245223717657,8.424018538669599e-05,0.012979998874167592
23,1,0.044550001993775366,0.05508999905238549,0.04982000052308043,0.007452903393829485,5.554576899775505e-05,0.010539997058610126
24,1,0.044550001993775366,0.05508999905238549,0.04982000052308043,0.007452903393829485,5.554576899775505e-05,0.010539997058610126
25,1,0.044550001993775366,0.05508999905238549,0.04982000052308043,0.007452903393829485,5.554576899775505e-05,0.010539997058610126
26,1,0.11196000166237355,0.10976000136385361,0.11086000151311358,0.0015556351296958774,2.420000656743909e-06,0.0022000002985199385
27,1,0.11196000166237355,0.10976000136385361,0.11086000151311358,0.0015556351296958774,2.420000656743909e-06,0.0022000002985199385
28,1,0.43039000071585176,0.43309000140676895,0.4317400010613104,0.0019091887977559104,3.6450018654766586e-06,0.0027000006909171925
29,1,0.4299600128084421,0.4139499962950746,0.4219550045517584,0.011320791243510748,0.00012816031437914963,0.016010016513367475
